"id","driver_number","driver_name","driver_abb","driver_total_seasons","driver_season_rank","driver_season_points","driver_season_gps","driver_season_wins","driver_season_podiums","driver_season_poles","driver_season_fastlaps","driver_season_leadlaps","driver_career_wins_avg","driver_career_podiums_avg","driver_career_poles","driver_career_fastlaps","driver_career_gps","driver_career_season","team_name","team_season_wins","team_season_podiums","team_season_poles","team_season_fastlaps","team_season_leadlaps","team_season_points","team_average_wins","team_average_podiums","team_total_gps","team_seasons","circuit_country","circuit_name","circuit_length","circuit_temp","circuit_rain","quali_pos","quali_time","race_pos"
14,21,"N DE VRIES","DEV",2,21,0,10,0,0,0,0,0,0.0,0.0,0,0,11,2,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,19,92.121,14
15,27,"N HULKENBERG","HUL",12,14,9,15,0,0,0,0,0,0.0,0.0,1,2,196,12,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,10,90.809,15
16,24,"G ZHOU","ZHO",2,16,4,15,0,0,0,1,0,0.0,0.0,0,2,36,2,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,13,91.473,16
17,4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,11,91.381,17
18,31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,9,90.984,18
19,16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,3,90.0,19
20,81,"O PIASTRI","PIA",1,12,36,15,0,0,0,1,1,0.0,0.0,0,0,14,1,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,18,92.101,20
21,11,"S PEREZ","PER",13,2,219,15,2,8,2,2,138,0.02,0.14,3,11,249,13,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,1,88.265,1
22,1,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,15,109.953,2
23,14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,3,88.73,3
24,63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,4,88.857,4
25,44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,8,89.223,5
26,55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,5,88.931,6
27,16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,2,88.42,7
28,31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,7,89.078,8
29,10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,10,89.357,9
30,20,"K MAGNUSSEN","MAG",8,18,2,15,0,0,0,0,0,0.0,0.01,1,2,155,8,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,13,89.634,10
