"driver_name";"driver_abb";"driver_rank";"driver_points";"driver_victories";"driver_podiums";"driver_poles";"team_name";"team_rank";"team_points";"team_victories";"car_chasis";"circuit_name";"circuit_country";"circuit_temp";"circuit_humi";"circuit_rain";"quali_pos";"quali_laptime";"race_num_pits";"race_tyres_strat";"race_pos_change";"race_pos";"race_time";"race_laptime";"driver_num"
"N HULKENBERG";"HUL";14;9;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Red Bull Ring";"Austria";22.398;52.0458;0.0196078;8;65.09;2;"M, M, H";-12;20;0.0;71.066;27
"M VERSTAPPEN";"VER";1;364;12;14;8;"Red Bull Racing";1;583;14;"RB19";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;1;86.72;1;"M, S";0;1;5116.94;90.275;1
"L NORRIS";"NOR";8;79;0;2;0;"McLaren";5;115;0;"MCL60";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;2;86.961;1;"M, H";0;2;5120.74;90.543;4
"L HAMILTON";"HAM";4;164;0;4;1;"Mercedes";2;273;0;"W14";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;7;87.211;1;"M, S";4;3;5123.72;90.545;44
"O PIASTRI";"PIA";12;36;0;0;0;"McLaren";5;115;0;"MCL60";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;3;87.092;1;"M, H";-1;4;5124.71;90.85;81
"G RUSSELL";"RUS";7;109;0;1;0;"Mercedes";2;273;0;"W14";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;6;87.155;1;"S, M";1;5;5128.14;91.124;63
"S PEREZ";"PER";2;219;2;8;2;"Red Bull Racing";1;583;14;"RB19";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;16;89.968;1;"M, S";9;6;5129.82;90.914;11
"F ALONSO";"ALO";3;170;0;7;0;"Aston Martin";4;217;0;"AMR23";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;9;87.659;1;"M, S";2;7;5134.13;91.338;14
"A ALBON";"ALB";13;21;0;0;0;"Williams";7;21;0;"FW45";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;8;87.53;1;"M, S";0;8;5134.82;91.273;23
"C LECLERC";"LEC";6;111;0;3;2;"Ferrari";3;228;0;"SF-23";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;4;87.136;2;"M, H, M";-5;9;5135.63;91.255;16
"C SAINZ";"SAI";5;117;0;1;1;"Ferrari";3;228;0;"SF-23";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;5;87.148;1;"M, H";-5;10;5136.39;91.366;55
"L SARGEANT";"SAR";19;0;0;0;0;"Williams";7;21;0;"FW45";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;14;89.031;1;"M, S";3;11;5140.57;91.699;2
"V BOTTAS";"BOT";15;6;0;0;0;"Alfa Romeo";9;10;0;"C43";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;15;89.798;1;"H, S";8;12;5142.77;91.852;77
"N HULKENBERG";"HUL";14;9;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;11;88.896;2;"H, M, S";-2;13;5143.6;91.776;27
"L STROLL";"STR";9;47;0;0;0;"Aston Martin";4;217;0;"AMR23";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;12;88.935;1;"M, S";-2;14;5144.42;91.508;18
"G ZHOU";"ZHO";16;4;0;0;0;"Alfa Romeo";9;10;0;"C43";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;18;90.123;3;"M, H, S, S";2;15;5146.76;91.769;24
"Y TSUNODA";"TSU";17;3;0;0;0;"AlphaTauri";10;3;0;"AT04";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;17;90.025;2;"S, H, S";0;16;5148.16;92.084;22
"N DE VRIES";"DEV";21;0;0;0;0;"AlphaTauri";10;3;0;"AT04";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;19;90.513;2;"S, M, S";1;17;5150.07;92.353;21
"P GASLY";"GAS";10;37;0;1;0;"Alpine";6;73;0;"A523";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;10;87.689;1;"M, S";-8;18;0.0;91.539;10
"K MAGNUSSEN";"MAG";18;2;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;20;92.378;0;"M";0;19;0.0;93.356;20
"E OCON";"OCO";11;36;0;1;0;"Alpine";6;73;0;"A523";"Silverstone Circuit";"Great Britain";21.4735;56.1854;0.0;13;88.956;0;"S";-7;20;0.0;93.846;31
"M VERSTAPPEN";"VER";1;364;12;14;8;"Red Bull Racing";1;583;14;"RB19";"Hungaroring";"Hungary";28.8085;32.8049;0.0;2;76.612;2;"M, H, M";1;1;5888.63;80.504;1
"L NORRIS";"NOR";8;79;0;2;0;"McLaren";5;115;0;"MCL60";"Hungaroring";"Hungary";28.8085;32.8049;0.0;3;76.694;2;"M, H, M";1;2;5922.37;82.178;4
"S PEREZ";"PER";2;219;2;8;2;"Red Bull Racing";1;583;14;"RB19";"Hungaroring";"Hungary";28.8085;32.8049;0.0;9;77.045;2;"H, M, M";6;3;5926.24;82.295;11
"L HAMILTON";"HAM";4;164;0;4;1;"Mercedes";2;273;0;"W14";"Hungaroring";"Hungary";28.8085;32.8049;0.0;1;76.609;2;"M, H, M";-3;4;5927.77;81.601;44
"O PIASTRI";"PIA";12;36;0;0;0;"McLaren";5;115;0;"MCL60";"Hungaroring";"Hungary";28.8085;32.8049;0.0;4;76.905;2;"M, H, M";-1;5;5951.21;82.736;81
"G RUSSELL";"RUS";7;109;0;1;0;"Mercedes";2;273;0;"W14";"Hungaroring";"Hungary";28.8085;32.8049;0.0;18;79.027;2;"H, M, M";12;6;5954.46;82.158;63
"C LECLERC";"LEC";6;111;0;3;2;"Ferrari";3;228;0;"SF-23";"Hungaroring";"Hungary";28.8085;32.8049;0.0;6;76.992;2;"M, H, H";-1;7;5958.95;82.469;16
"C SAINZ";"SAI";5;117;0;1;1;"Ferrari";3;228;0;"SF-23";"Hungaroring";"Hungary";28.8085;32.8049;0.0;11;77.703;2;"S, H, H";3;8;5959.71;82.584;55
"F ALONSO";"ALO";3;170;0;7;0;"Aston Martin";4;217;0;"AMR23";"Hungaroring";"Hungary";28.8085;32.8049;0.0;8;77.035;2;"M, H, H";-1;9;5964.34;82.745;14
"L STROLL";"STR";9;47;0;0;0;"Aston Martin";4;217;0;"AMR23";"Hungaroring";"Hungary";28.8085;32.8049;0.0;14;78.144;2;"S, H, H";4;10;0.0;83.425;18
"A ALBON";"ALB";13;21;0;0;0;"Williams";7;21;0;"FW45";"Hungaroring";"Hungary";28.8085;32.8049;0.0;16;78.917;2;"M, H, H";5;11;0.0;84.051;23
"V BOTTAS";"BOT";15;6;0;0;0;"Alfa Romeo";9;10;0;"C43";"Hungaroring";"Hungary";28.8085;32.8049;0.0;7;77.034;2;"M, H, H";-5;12;0.0;83.651;77
"D RICCIARDO";"RIC";22;0;0;0;0;"AlphaTauri";10;3;0;"AT04";"Hungaroring";"Hungary";28.8085;32.8049;0.0;13;78.002;2;"M, H, M";0;13;0.0;83.934;3
"N HULKENBERG";"HUL";14;9;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Hungaroring";"Hungary";28.8085;32.8049;0.0;10;77.186;2;"M, H, H";-4;14;0.0;83.573;27
"Y TSUNODA";"TSU";17;3;0;0;0;"AlphaTauri";10;3;0;"AT04";"Hungaroring";"Hungary";28.8085;32.8049;0.0;17;78.919;2;"S, H, M";2;15;0.0;83.269;22
"G ZHOU";"ZHO";16;4;0;0;0;"Alfa Romeo";9;10;0;"C43";"Hungaroring";"Hungary";28.8085;32.8049;0.0;5;76.971;2;"M, H, H";-11;16;0.0;83.743;24
"K MAGNUSSEN";"MAG";18;2;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Hungaroring";"Hungary";28.8085;32.8049;0.0;19;79.206;2;"M, H, H";2;17;0.0;83.864;20
"L SARGEANT";"SAR";19;0;0;0;0;"Williams";7;21;0;"FW45";"Hungaroring";"Hungary";28.8085;32.8049;0.0;20;79.248;2;"M, H, H";2;18;0.0;83.496;2
"E OCON";"OCO";11;36;0;1;0;"Alpine";6;73;0;"A523";"Hungaroring";"Hungary";28.8085;32.8049;0.0;12;77.841;0;"M";-7;19;0.0;101.181;31
"P GASLY";"GAS";10;37;0;1;0;"Alpine";6;73;0;"A523";"Hungaroring";"Hungary";28.8085;32.8049;0.0;15;78.217;0;"S";-5;20;0.0;124.981;10
"M VERSTAPPEN";"VER";1;364;12;14;8;"Red Bull Racing";1;583;14;"RB19";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;1;106.168;2;"S, M, S";5;1;4950.45;108.922;1
"S PEREZ";"PER";2;219;2;8;2;"Red Bull Racing";1;583;14;"RB19";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;3;107.045;2;"S, M, S";0;2;4972.75;110.308;11
"C LECLERC";"LEC";6;111;0;3;2;"Ferrari";3;228;0;"SF-23";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;2;106.988;2;"S, M, S";-2;3;4982.71;110.436;16
"L HAMILTON";"HAM";4;164;0;4;1;"Mercedes";2;273;0;"W14";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;4;107.087;3;"S, M, S, H";-1;4;5000.12;107.305;44
"F ALONSO";"ALO";3;170;0;7;0;"Aston Martin";4;217;0;"AMR23";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;9;107.843;2;"M, M, S";4;5;5006.63;110.938;14
"G RUSSELL";"RUS";7;109;0;1;0;"Mercedes";2;273;0;"W14";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;8;107.805;1;"M, S";2;6;5013.55;110.603;63
"L NORRIS";"NOR";8;79;0;2;0;"McLaren";5;115;0;"MCL60";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;7;107.669;2;"M, H, S";0;7;5024.17;111.682;4
"E OCON";"OCO";11;36;0;1;0;"Alpine";6;73;0;"A523";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;15;116.372;2;"S, M, S";6;8;5025.17;110.439;31
"L STROLL";"STR";9;47;0;0;0;"Aston Martin";4;217;0;"AMR23";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;10;108.841;1;"M, S";1;9;5029.79;111.297;18
"Y TSUNODA";"TSU";17;3;0;0;0;"AlphaTauri";10;3;0;"AT04";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;11;113.148;2;"M, M, S";1;10;5030.67;111.394;22
"P GASLY";"GAS";10;37;0;1;0;"Alpine";6;73;0;"A523";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;12;113.671;1;"S, M";1;11;5033.53;110.911;10
"V BOTTAS";"BOT";15;6;0;0;0;"Alfa Romeo";9;10;0;"C43";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;14;114.694;2;"S, M, M";1;12;5035.64;110.515;77
"G ZHOU";"ZHO";16;4;0;0;0;"Alfa Romeo";9;10;0;"C43";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;17;120.832;2;"S, M, S";4;13;5045.89;110.188;24
"A ALBON";"ALB";13;21;0;0;0;"Williams";7;21;0;"FW45";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;16;120.314;3;"S, M, M, S";1;14;5046.63;109.841;23
"K MAGNUSSEN";"MAG";18;2;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;13;114.16;2;"S, M, M";1;15;5052.2;110.993;20
"D RICCIARDO";"RIC";22;0;0;0;0;"AlphaTauri";10;3;0;"AT04";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;19;122.159;2;"S, M, M";3;16;5053.52;110.994;3
"L SARGEANT";"SAR";19;0;0;0;0;"Williams";7;21;0;"FW45";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;18;121.535;3;"S, M, M, S";1;17;5054.93;110.236;2
"N HULKENBERG";"HUL";14;9;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;20;123.166;2;"M, S, S";-18;18;5060.9;109.907;27
"C SAINZ";"SAI";5;117;0;1;1;"Ferrari";3;228;0;"SF-23";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;5;107.152;1;"S, M";-15;19;0.0;113.138;55
"O PIASTRI";"PIA";12;36;0;0;0;"McLaren";5;115;0;"MCL60";"Spa-Francorchamps";"Belgium";17.8733;61.9267;0.0733333;6;107.365;0;"M";-15;20;0.0;0.0;81
"M VERSTAPPEN";"VER";1;364;12;14;8;"Red Bull Racing";1;583;14;"RB19";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;1;70.567;6;"S, I, S, S, I, W, I";0;1;8644.41;73.889;1
"F ALONSO";"ALO";3;170;0;7;0;"Aston Martin";4;217;0;"AMR23";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;5;71.506;5;"S, I, S, S, I, I";3;2;8648.16;73.837;14
"P GASLY";"GAS";10;37;0;1;0;"Alpine";6;73;0;"A523";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;12;80.128;5;"S, I, S, S, I, I";9;3;8651.47;74.441;10
"S PEREZ";"PER";2;219;2;8;2;"Red Bull Racing";1;583;14;"RB19";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;7;71.88;6;"S, I, S, S, I, I, I";3;4;8654.48;74.231;11
"C SAINZ";"SAI";5;117;0;1;1;"Ferrari";3;228;0;"SF-23";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;6;71.754;5;"S, I, S, S, I, I";1;5;8656.95;74.934;55
"L HAMILTON";"HAM";4;164;0;4;1;"Mercedes";2;273;0;"W14";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;13;80.151;5;"M, I, S, S, I, I";7;6;8657.62;73.904;44
"L NORRIS";"NOR";8;79;0;2;0;"McLaren";5;115;0;"MCL60";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;2;71.104;6;"S, I, S, S, I, I, I";-5;7;8657.64;74.39;4
"A ALBON";"ALB";13;21;0;0;0;"Williams";7;21;0;"FW45";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;4;71.419;4;"S, M, I, I, I";-4;8;8659.57;74.468;23
"O PIASTRI";"PIA";12;36;0;0;0;"McLaren";5;115;0;"MCL60";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;8;71.938;5;"S, S, M, I, I, I";-1;9;8660.99;74.299;81
"E OCON";"OCO";11;36;0;1;0;"Alpine";6;73;0;"A523";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;17;82.11;6;"S, I, S, S, W, I, I";6;10;8662.76;74.57;31
"L STROLL";"STR";9;47;0;0;0;"Aston Martin";4;217;0;"AMR23";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;11;80.121;7;"S, I, S, M, S, I, I, I";0;11;8664.5;75.171;18
"N HULKENBERG";"HUL";14;9;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;15;80.25;5;"S, M, S, I, I, I";2;12;8665.25;74.472;27
"L LAWSON";"LAW";20;0;0;0;0;"AlphaTauri";10;3;0;"AT04";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;20;83.42;7;"S, I, S, M, S, I, I, I";6;13;8670.56;74.82;40
"V BOTTAS";"BOT";15;6;0;0;0;"Alfa Romeo";9;10;0;"C43";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;19;82.26;5;"S, M, S, I, I, I";4;14;8671.8;74.698;77
"Y TSUNODA";"TSU";17;3;0;0;0;"AlphaTauri";10;3;0;"AT04";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;14;80.23;5;"S, I, S, I, I, I";2;15;8674.3;76.253;22
"K MAGNUSSEN";"MAG";18;2;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;18;82.192;6;"S, I, S, M, I, I, I";-16;16;8675.82;75.489;20
"G RUSSELL";"RUS";7;109;0;1;0;"Mercedes";2;273;0;"W14";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;3;71.294;7;"S, I, S, H, I, I, I, I";-14;17;8700.17;75.124;63
"G ZHOU";"ZHO";16;4;0;0;0;"Alfa Romeo";9;10;0;"C43";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;16;82.067;4;"S, I, M, S, I";-13;18;0.0;75.417;24
"C LECLERC";"LEC";6;111;0;3;2;"Ferrari";3;228;0;"SF-23";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;9;72.665;2;"S, I, S";-10;19;0.0;77.277;16
"L SARGEANT";"SAR";19;0;0;0;0;"Williams";7;21;0;"FW45";"Zandvoort Circuit";"Netherlands";16.7919;70.7751;0.229665;10;76.748;0;"S";-10;20;0.0;77.399;2
"M VERSTAPPEN";"VER";1;364;12;14;8;"Red Bull Racing";1;583;14;"RB19";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;2;80.307;1;"M, H";1;1;4421.14;85.24;1
"S PEREZ";"PER";2;219;2;8;2;"Red Bull Racing";1;583;14;"RB19";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;5;80.688;1;"M, H";3;2;4427.21;85.522;11
"C SAINZ";"SAI";5;117;0;1;1;"Ferrari";3;228;0;"SF-23";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;1;80.294;1;"M, H";-2;3;4432.34;85.501;55
"C LECLERC";"LEC";6;111;0;3;2;"Ferrari";3;228;0;"SF-23";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;3;80.361;1;"M, H";-1;4;4432.52;85.58;16
"G RUSSELL";"RUS";7;109;0;1;0;"Mercedes";2;273;0;"W14";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;4;80.671;1;"M, H";-1;5;4444.17;85.847;63
"L HAMILTON";"HAM";4;164;0;4;1;"Mercedes";2;273;0;"W14";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;8;80.82;1;"H, M";2;6;4463.82;85.582;44
"A ALBON";"ALB";13;21;0;0;0;"Williams";7;21;0;"FW45";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;6;80.76;1;"M, H";-1;7;4466.25;86.389;23
"L NORRIS";"NOR";8;79;0;2;0;"McLaren";5;115;0;"MCL60";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;9;80.979;1;"M, H";1;8;4466.59;86.144;4
"F ALONSO";"ALO";3;170;0;7;0;"Aston Martin";4;217;0;"AMR23";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;10;81.417;1;"M, H";1;9;4467.44;86.105;14
"V BOTTAS";"BOT";15;6;0;0;0;"Alfa Romeo";9;10;0;"C43";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;14;81.94;1;"H, M";4;10;4485.2;85.988;77
"L LAWSON";"LAW";20;0;0;0;0;"AlphaTauri";10;3;0;"AT04";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;12;81.758;2;"M, H, M";1;11;4491.78;85.842;40
"O PIASTRI";"PIA";12;36;0;0;0;"McLaren";5;115;0;"MCL60";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;7;80.785;2;"M, H, M";-5;12;4494.22;85.072;81
"L SARGEANT";"SAR";19;0;0;0;0;"Williams";7;21;0;"FW45";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;15;81.944;1;"M, H";2;13;4499.7;86.84;2
"G ZHOU";"ZHO";16;4;0;0;0;"Alfa Romeo";9;10;0;"C43";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;16;82.39;2;"M, H, M";2;14;4501.31;85.983;24
"P GASLY";"GAS";10;37;0;1;0;"Alpine";6;73;0;"A523";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;17;82.545;2;"M, H, M";2;15;4503.65;85.758;10
"L STROLL";"STR";9;47;0;0;0;"Aston Martin";4;217;0;"AMR23";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;20;82.86;1;"M, H";4;16;4508.41;86.617;18
"N HULKENBERG";"HUL";14;9;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;13;81.776;2;"M, H, M";-4;17;0.0;85.894;27
"K MAGNUSSEN";"MAG";18;2;0;0;0;"Haas F1 Team";8;11;0;"VF-23";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;19;82.592;2;"H, M, M";1;18;0.0;86.278;20
"E OCON";"OCO";11;36;0;1;0;"Alpine";6;73;0;"A523";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;18;82.548;1;"M, H";-1;19;0.0;86.963;31
"Y TSUNODA";"TSU";17;3;0;0;0;"AlphaTauri";10;3;0;"AT04";"Autodromo Nazionale Monza";"Italy";29.3301;42.3205;0.0;11;81.594;0;"M";-9;20;0.0;0.0;22
