"driver_number","driver_name","driver_abb","driver_total_seasons","driver_season_rank","driver_season_points","driver_season_gps","driver_season_wins","driver_season_podiums","driver_season_poles","driver_season_fastlaps","driver_season_leadlaps","driver_career_wins_avg","driver_career_podiums_avg","driver_career_poles","driver_career_fastlaps","driver_career_gps","driver_career_season","team_name","team_season_wins","team_season_podiums","team_season_poles","team_season_fastlaps","team_season_leadlaps","team_season_points","team_average_wins","team_average_podiums","team_total_gps","team_seasons","circuit_country","circuit_name","circuit_length","circuit_temp","circuit_rain","quali_pos","quali_time","race_pos"
22,"Y TSUNODA","TSU",3,17,3,15,0,0,0,0,0,0.0,0.0,0,0,56,3,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,14,92.51,11
2,"L SARGEANT","SAR",1,19,0,15,0,0,0,0,0,0.0,0.0,0,0,14,1,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,16,91.652,12
20,"K MAGNUSSEN","MAG",8,18,2,15,0,0,0,0,0,0.0,0.01,1,2,155,8,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,17,91.892,13
21,"N DE VRIES","DEV",2,21,0,10,0,0,0,0,0,0.0,0.0,0,0,11,2,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,19,92.121,14
27,"N HULKENBERG","HUL",12,14,9,15,0,0,0,0,0,0.0,0.0,1,2,196,12,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,10,90.809,15
24,"G ZHOU","ZHO",2,16,4,15,0,0,0,1,0,0.0,0.0,0,2,36,2,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,13,91.473,16
4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,11,91.381,17
31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,9,90.984,18
16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,3,90.0,19
81,"O PIASTRI","PIA",1,12,36,15,0,0,0,1,1,0.0,0.0,0,0,14,1,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Bahrain","Bahrain International Circuit",5412,27.4317,0.0,18,92.101,20
11,"S PEREZ","PER",13,2,219,15,2,8,2,2,138,0.02,0.14,3,11,249,13,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,1,88.265,1
1,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,15,109.953,2
14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,3,88.73,3
63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,4,88.857,4
44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,8,89.223,5
55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,5,88.931,6
16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,2,88.42,7
31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,7,89.078,8
10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,10,89.357,9
20,"K MAGNUSSEN","MAG",8,18,2,15,0,0,0,0,0,0.0,0.01,1,2,155,8,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,13,89.634,10
22,"Y TSUNODA","TSU",3,17,3,15,0,0,0,0,0,0.0,0.0,0,0,56,3,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,16,89.939,11
27,"N HULKENBERG","HUL",12,14,9,15,0,0,0,0,0,0.0,0.0,1,2,196,12,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,11,89.451,12
24,"G ZHOU","ZHO",2,16,4,15,0,0,0,1,0,0.0,0.0,0,2,36,2,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,12,89.461,13
21,"N DE VRIES","DEV",2,21,0,10,0,0,0,0,0,0.0,0.0,0,0,11,2,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,18,90.244,14
81,"O PIASTRI","PIA",1,12,36,15,0,0,0,1,1,0.0,0.0,0,0,14,1,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,9,89.243,15
2,"L SARGEANT","SAR",1,19,0,15,0,0,0,0,0,0.0,0.0,0,0,14,1,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,20,128.51,16
4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,19,90.447,17
77,"V BOTTAS","BOT",11,15,6,15,0,0,0,0,0,0.05,0.31,20,19,214,11,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,14,89.668,18
23,"A ALBON","ALB",4,13,21,15,0,0,0,0,0,0.0,0.03,0,0,73,4,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,17,89.994,19
18,"L STROLL","STR",7,9,47,15,0,0,0,0,0,0.0,0.02,1,0,136,7,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Saudi Arabia","Jeddah Corniche Circuit",6174,26.0919,0.0,6,88.945,20
1,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,1,76.732,1
44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,3,77.104,2
14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,4,77.139,3
18,"L STROLL","STR",7,9,47,15,0,0,0,0,0,0.0,0.02,1,0,136,7,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,6,77.308,4
4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,13,78.119,6
27,"N HULKENBERG","HUL",12,14,9,15,0,0,0,0,0,0.0,0.0,1,2,196,12,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,10,77.735,7
81,"O PIASTRI","PIA",1,12,36,15,0,0,0,1,1,0.0,0.0,0,0,14,1,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,16,78.517,8
24,"G ZHOU","ZHO",2,16,4,15,0,0,0,1,0,0.0,0.0,0,2,36,2,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,17,78.54,9
22,"Y TSUNODA","TSU",3,17,3,15,0,0,0,0,0,0.0,0.0,0,0,56,3,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,12,78.099,10
77,"V BOTTAS","BOT",11,15,6,15,0,0,0,0,0,0.05,0.31,20,19,214,11,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,19,78.714,11
55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,5,77.27,12
10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,9,77.675,13
31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,11,77.768,14
21,"N DE VRIES","DEV",2,21,0,10,0,0,0,0,0,0.0,0.0,0,0,11,2,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,15,78.335,15
2,"L SARGEANT","SAR",1,19,0,15,0,0,0,0,0,0.0,0.0,0,0,14,1,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,18,78.557,16
20,"K MAGNUSSEN","MAG",8,18,2,15,0,0,0,0,0,0.0,0.01,1,2,155,8,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,14,78.129,17
63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,2,76.968,18
23,"A ALBON","ALB",4,13,21,15,0,0,0,0,0,0.0,0.03,0,0,73,4,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,8,77.609,19
16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Australia","Albert Park Grand Prix Circuit",5303,17.4495,0.0,7,77.369,20
11,"S PEREZ","PER",13,2,219,15,2,8,2,2,138,0.02,0.14,3,11,249,13,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,3,100.495,1
1,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,2,100.391,2
16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,1,100.203,3
14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,6,101.253,4
55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,4,101.016,5
44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,5,101.177,6
18,"L STROLL","STR",7,9,47,15,0,0,0,0,0,0.0,0.02,1,0,136,7,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,9,101.611,7
63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,11,101.654,8
4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,7,101.281,9
22,"Y TSUNODA","TSU",3,17,3,15,0,0,0,0,0,0.0,0.0,0,0,56,3,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,8,101.581,10
81,"O PIASTRI","PIA",1,12,36,15,0,0,0,1,1,0.0,0.0,0,0,14,1,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,10,101.611,11
23,"A ALBON","ALB",4,13,21,15,0,0,0,0,0,0.0,0.03,0,0,73,4,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,13,101.818,12
20,"K MAGNUSSEN","MAG",8,18,2,15,0,0,0,0,0,0.0,0.01,1,2,155,8,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,18,103.417,13
10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,19,104.853,14
31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,12,101.798,15
2,"L SARGEANT","SAR",1,19,0,15,0,0,0,0,0,0.0,0.0,0,0,14,1,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,15,102.395,16
27,"N HULKENBERG","HUL",12,14,9,15,0,0,0,0,0,0.0,0.0,1,2,196,12,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,17,102.755,17
77,"V BOTTAS","BOT",11,15,6,15,0,0,0,0,0,0.05,0.31,20,19,214,11,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,14,102.259,18
24,"G ZHOU","ZHO",2,16,4,15,0,0,0,1,0,0.0,0.0,0,2,36,2,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Azerbaijan","Baku City Circuit",6003,24.8606,0.0,16,102.642,19
1,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"USA","Miami International Autodrome",5412,27.1174,0.0,9,86.814,1
11,"S PEREZ","PER",13,2,219,15,2,8,2,2,138,0.02,0.14,3,11,249,13,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"USA","Miami International Autodrome",5412,27.1174,0.0,1,86.841,2
14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"USA","Miami International Autodrome",5412,27.1174,0.0,2,87.202,3
63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"USA","Miami International Autodrome",5412,27.1174,0.0,6,87.804,4
55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"USA","Miami International Autodrome",5412,27.1174,0.0,3,87.349,5
44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"USA","Miami International Autodrome",5412,27.1174,0.0,13,87.975,6
16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"USA","Miami International Autodrome",5412,27.1174,0.0,7,87.861,7
10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"USA","Miami International Autodrome",5412,27.1174,0.0,5,87.786,8
31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"USA","Miami International Autodrome",5412,27.1174,0.0,8,87.935,9
20,"K MAGNUSSEN","MAG",8,18,2,15,0,0,0,0,0,0.0,0.01,1,2,155,8,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"USA","Miami International Autodrome",5412,27.1174,0.0,4,87.767,10
22,"Y TSUNODA","TSU",3,17,3,15,0,0,0,0,0,0.0,0.0,0,0,56,3,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"USA","Miami International Autodrome",5412,27.1174,0.0,17,88.429,11
18,"L STROLL","STR",7,9,47,15,0,0,0,0,0,0.0,0.02,1,0,136,7,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"USA","Miami International Autodrome",5412,27.1174,0.0,18,88.476,12
77,"V BOTTAS","BOT",11,15,6,15,0,0,0,0,0,0.05,0.31,20,19,214,11,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"USA","Miami International Autodrome",5412,27.1174,0.0,10,87.564,13
23,"A ALBON","ALB",4,13,21,15,0,0,0,0,0,0.0,0.03,0,0,73,4,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"USA","Miami International Autodrome",5412,27.1174,0.0,11,87.795,14
27,"N HULKENBERG","HUL",12,14,9,15,0,0,0,0,0,0.0,0.0,1,2,196,12,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"USA","Miami International Autodrome",5412,27.1174,0.0,12,87.903,15
24,"G ZHOU","ZHO",2,16,4,15,0,0,0,1,0,0.0,0.0,0,2,36,2,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"USA","Miami International Autodrome",5412,27.1174,0.0,14,88.091,16
4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"USA","Miami International Autodrome",5412,27.1174,0.0,16,88.394,17
21,"N DE VRIES","DEV",2,21,0,10,0,0,0,0,0,0.0,0.0,0,0,11,2,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"USA","Miami International Autodrome",5412,27.1174,0.0,15,88.395,18
81,"O PIASTRI","PIA",1,12,36,15,0,0,0,1,1,0.0,0.0,0,0,14,1,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"USA","Miami International Autodrome",5412,27.1174,0.0,19,88.484,19
2,"L SARGEANT","SAR",1,19,0,15,0,0,0,0,0,0.0,0.0,0,0,14,1,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"USA","Miami International Autodrome",5412,27.1174,0.0,20,88.577,20
1,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,1,71.365,1
14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,2,71.449,2
31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,4,71.553,3
44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,6,71.725,4
63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,8,71.964,5
16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,3,71.471,6
10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,7,71.933,7
55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,5,71.63,8
4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,10,72.254,9
81,"O PIASTRI","PIA",1,12,36,15,0,0,0,1,1,0.0,0.0,0,0,14,1,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,11,72.395,10
77,"V BOTTAS","BOT",11,15,6,15,0,0,0,0,0,0.05,0.31,20,19,214,11,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,15,72.625,11
21,"N DE VRIES","DEV",2,21,0,10,0,0,0,0,0,0.0,0.0,0,0,11,2,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,12,72.428,12
24,"G ZHOU","ZHO",2,16,4,15,0,0,0,1,0,0.0,0.0,0,2,36,2,"Alfa Romeo",0,0,0,1,0,10,0.02,0.06,428,16,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,19,73.523,13
23,"A ALBON","ALB",4,13,21,15,0,0,0,0,0,0.0,0.03,0,0,73,4,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Monaco","Circuit de Monaco",3337,25.0659,0.147727,13,72.527,14
